"City, State",State,City,E,N,A,C,O
"Loomis, California",Loomis,California,0.01,-0.03,0.05,-0.02,-0.05
"Lorain, Ohio",Lorain,Ohio,0.0,0.04,0.02,0.05,0.04
"Lorton, Virginia",Lorton,Virginia,-0.03,0.06,-0.02,-0.04,-0.02
"Los Alamitos, California",Los Alamitos,California,0.02,0.01,0.05,-0.02,-0.1
"Los Alamos, New Mexico",Los Alamos,New Mexico,-0.07,0.03,0.01,0.0,-0.06
"Los Altos, California",Los Altos,California,0.02,-0.06,0.03,-0.03,0.02
"Los Angeles, California",Los Angeles,California,0.09,-0.12,-0.06,-0.06,0.17
"Los Banos, California",Los Banos,California,-0.0,0.02,0.05,-0.02,-0.02
"Los Gatos, California",Los Gatos,California,0.03,-0.06,0.07,-0.06,0.07
"Los Lunas, New Mexico",Los Lunas,New Mexico,-0.0,-0.04,0.07,-0.0,-0.04
"Los Osos, California",Los Osos,California,-0.03,0.03,0.04,-0.0,0.09
"Louisville, Colorado",Louisville,Colorado,-0.01,0.01,0.03,-0.02,-0.02
"Louisville, Kentucky",Louisville,Kentucky,0.04,-0.0,-0.0,-0.03,-0.0
"Louisville, Ohio",Louisville,Ohio,0.02,0.06,0.02,0.02,-0.04
"Loveland, Colorado",Loveland,Colorado,0.01,-0.05,0.1,0.02,0.06
"Loveland, Ohio",Loveland,Ohio,-0.02,-0.02,0.07,-0.02,0.0
"Loves Park, Illinois",Loves Park,Illinois,-0.01,0.03,0.05,0.0,-0.12
"Lowell, Indiana",Lowell,Indiana,-0.03,-0.02,0.07,0.02,-0.07
"Lowell, Massachusetts",Lowell,Massachusetts,-0.02,0.06,-0.02,-0.07,-0.09
"Lowell, Michigan",Lowell,Michigan,-0.02,0.03,0.0,0.02,-0.03
"Lubbock, Texas",Lubbock,Texas,-0.02,0.0,0.02,0.03,-0.04
"Ludington, Michigan",Ludington,Michigan,0.02,-0.0,0.0,0.02,-0.04
"Ludlow, Massachusetts",Ludlow,Massachusetts,0.02,0.04,0.04,-0.03,-0.04
"Lufkin, Texas",Lufkin,Texas,0.03,-0.01,0.03,0.03,-0.01
"Luling, Louisiana",Luling,Louisiana,0.01,0.06,0.01,0.02,-0.02
"Lumberton, New Jersey",Lumberton,New Jersey,0.01,-0.02,0.01,-0.01,-0.03
"Lumberton, North Carolina",Lumberton,North Carolina,-0.01,0.04,0.07,-0.0,-0.05
"Lumberton, Texas",Lumberton,Texas,0.0,0.0,0.02,0.02,-0.04
"Lusby, Maryland",Lusby,Maryland,0.0,-0.02,0.04,-0.01,-0.02
"Lutz, Florida",Lutz,Florida,0.0,-0.01,0.02,-0.02,0.03
"Lynbrook, New York",Lynbrook,New York,-0.01,0.05,0.04,-0.01,-0.02
"Lynchburg, Virginia",Lynchburg,Virginia,-0.0,0.02,-0.0,-0.04,-0.03
"Lynden, Washington",Lynden,Washington,-0.05,-0.01,0.04,-0.01,-0.07
"Lyndhurst, New Jersey",Lyndhurst,New Jersey,0.0,0.04,-0.03,0.03,0.0
"Lynn, Massachusetts",Lynn,Massachusetts,-0.07,0.1,-0.14,-0.08,-0.05
"Lynnwood, Washington",Lynnwood,Washington,-0.01,0.0,0.03,-0.05,-0.0
"Lynwood, California",Lynwood,California,0.01,0.01,0.03,-0.02,0.05
"Mableton, Georgia",Mableton,Georgia,-0.0,0.04,0.04,0.01,-0.1
"Macomb, Illinois",Macomb,Illinois,-0.01,-0.02,0.01,0.01,-0.02
"Macomb, Michigan",Macomb,Michigan,0.01,0.02,0.08,-0.03,-0.05
"Macon, Georgia",Macon,Georgia,0.05,-0.06,0.0,0.04,0.02
"Madera, California",Madera,California,0.02,-0.08,0.05,0.01,-0.04
"Madison Heights, Michigan",Madison Heights,Michigan,-0.03,0.06,0.0,-0.02,-0.08
"Madison, Alabama",Madison,Alabama,0.0,0.02,0.06,-0.01,-0.02
"Madison, Connecticut",Madison,Connecticut,-0.02,0.02,-0.02,-0.04,0.0
"Madison, Indiana",Madison,Indiana,-0.03,0.07,0.01,-0.02,-0.07
"Madison, Mississippi",Madison,Mississippi,-0.0,-0.02,0.04,0.03,-0.05
"Madison, New Jersey",Madison,New Jersey,-0.02,0.07,0.02,-0.01,0.02
"Madison, Ohio",Madison,Ohio,0.0,-0.02,0.02,0.04,0.01
"Madison, South Dakota",Madison,South Dakota,-0.03,-0.03,0.01,0.01,-0.06
"Madison, Wisconsin",Madison,Wisconsin,-0.09,-0.0,0.03,-0.1,0.01
"Madisonville, Kentucky",Madisonville,Kentucky,-0.0,-0.01,0.04,0.04,-0.09
"Magna, Utah",Magna,Utah,0.01,0.03,0.08,-0.01,-0.06
"Magnolia, Arkansas",Magnolia,Arkansas,0.02,-0.0,0.04,-0.01,0.02
"Magnolia, Texas",Magnolia,Texas,-0.01,0.02,0.04,-0.0,-0.05
"Mahomet, Illinois",Mahomet,Illinois,0.02,0.02,0.05,-0.02,-0.05
"Mahopac, New York",Mahopac,New York,0.02,-0.02,0.03,-0.01,0.02
"Mahwah, New Jersey",Mahwah,New Jersey,-0.04,0.04,0.04,-0.03,0.0
"Malden, Massachusetts",Malden,Massachusetts,-0.02,0.04,-0.06,-0.04,0.01
"Malibu, California",Malibu,California,0.05,0.07,0.03,-0.03,0.05
"Malone, New York",Malone,New York,-0.06,0.05,0.02,0.02,-0.03
"Malvern, Arkansas",Malvern,Arkansas,-0.01,0.05,-0.05,-0.01,0.01
"Malvern, Pennsylvania",Malvern,Pennsylvania,0.03,0.02,0.06,0.01,-0.01
"Manahawkin, New Jersey",Manahawkin,New Jersey,0.0,0.07,0.01,0.0,0.06
"Manalapan, New Jersey",Manalapan,New Jersey,0.01,0.1,-0.07,-0.02,0.02
"Manassas, Virginia",Manassas,Virginia,-0.01,-0.03,0.07,-0.05,-0.03
"Manchester, Connecticut",Manchester,Connecticut,-0.01,0.01,-0.02,-0.02,0.06
"Manchester, Kentucky",Manchester,Kentucky,-0.0,0.05,-0.02,0.01,0.04
"Manchester, Maryland",Manchester,Maryland,-0.02,0.01,-0.06,-0.01,-0.09
"Manchester, New Hampshire",Manchester,New Hampshire,0.05,0.03,0.04,0.02,-0.06
"Manchester, New Jersey",Manchester,New Jersey,-0.02,0.07,0.02,-0.01,-0.04
"Manchester, Tennessee",Manchester,Tennessee,-0.01,0.02,0.03,0.02,-0.0
"Mandan, North Dakota",Mandan,North Dakota,-0.01,-0.02,0.01,0.0,-0.08
"Mandeville, Louisiana",Mandeville,Louisiana,-0.0,0.06,0.08,-0.02,-0.02
"Manhattan Beach, California",Manhattan Beach,California,0.02,0.05,0.03,-0.02,0.01
"Manhattan, Kansas",Manhattan,Kansas,-0.01,0.01,-0.01,-0.07,-0.07
"Manhattan, New York",Manhattan,New York,0.07,-0.01,-0.19,-0.09,0.13
"Manheim, Pennsylvania",Manheim,Pennsylvania,0.02,0.02,-0.01,0.01,-0.15
"Manistee, Michigan",Manistee,Michigan,-0.02,0.01,0.04,0.01,-0.02
"Manitowoc, Wisconsin",Manitowoc,Wisconsin,-0.04,0.08,0.01,-0.03,-0.1
"Mankato, Minnesota",Mankato,Minnesota,-0.06,0.05,0.0,-0.08,0.01
"Manlius, New York",Manlius,New York,-0.0,0.05,0.0,-0.01,0.01
"Manorville, New York",Manorville,New York,0.01,-0.01,0.03,0.01,-0.04
"Mansfield, Massachusetts",Mansfield,Massachusetts,-0.04,0.11,-0.02,-0.07,-0.06
"Mansfield, Ohio",Mansfield,Ohio,0.01,0.03,-0.03,0.0,-0.01
"Mansfield, Texas",Mansfield,Texas,0.03,-0.05,-0.04,0.04,-0.14
"Manteca, California",Manteca,California,-0.01,0.02,0.1,0.0,-0.03
"Maple Grove, Minnesota",Maple Grove,Minnesota,-0.03,-0.0,0.05,-0.04,-0.08
"Maple Heights, Ohio",Maple Heights,Ohio,0.0,0.03,0.01,0.01,-0.01
"Maple Valley, Washington",Maple Valley,Washington,-0.01,0.01,0.06,-0.03,-0.1
"Maplewood, Minnesota",Maplewood,Minnesota,-0.03,0.02,0.06,-0.04,-0.03
"Maplewood, New Jersey",Maplewood,New Jersey,0.01,0.01,0.02,-0.0,-0.01
"Maquoketa, Iowa",Maquoketa,Iowa,-0.03,0.11,0.01,-0.01,-0.05
"Marblehead, Massachusetts",Marblehead,Massachusetts,-0.01,-0.0,0.03,-0.0,-0.04
"Marengo, Illinois",Marengo,Illinois,0.02,-0.04,0.04,-0.02,0.03
"Margate, Florida",Margate,Florida,0.0,-0.0,0.01,-0.02,0.07
"Marianna, Florida",Marianna,Florida,0.02,0.01,0.02,0.03,-0.02
"Maricopa, Arizona",Maricopa,Arizona,0.0,0.04,0.02,0.0,-0.01
"Marietta, Georgia",Marietta,Georgia,0.02,-0.01,-0.02,-0.03,0.03
"Marietta, Ohio",Marietta,Ohio,-0.05,0.02,0.05,0.03,-0.01
"Marina, California",Marina,California,-0.02,0.01,0.03,-0.02,-0.01
"Marinette, Wisconsin",Marinette,Wisconsin,-0.03,0.07,-0.0,-0.01,-0.05
"Marion, Arkansas",Marion,Arkansas,0.04,0.03,-0.01,-0.02,0.02
"Marion, Illinois",Marion,Illinois,-0.02,0.04,0.06,0.05,-0.04
"Marion, Indiana",Marion,Indiana,-0.0,-0.0,-0.01,-0.0,-0.17
"Marion, Iowa",Marion,Iowa,-0.01,0.0,-0.01,0.03,-0.09
"Marion, North Carolina",Marion,North Carolina,0.01,-0.02,0.04,0.02,-0.05
"Marion, Ohio",Marion,Ohio,0.01,0.09,0.02,0.02,-0.0
"Marlboro, New Jersey",Marlboro,New Jersey,0.07,0.0,-0.05,-0.0,0.06
"Marlborough, Massachusetts",Marlborough,Massachusetts,-0.05,0.04,0.02,-0.05,0.02
"Marlton, New Jersey",Marlton,New Jersey,0.08,0.01,0.03,0.05,-0.04
"Marquette, Michigan",Marquette,Michigan,-0.04,0.01,0.05,0.02,-0.08
"Marrero, Louisiana",Marrero,Louisiana,0.03,-0.01,0.07,0.01,0.04
"Mars, Pennsylvania",Mars,Pennsylvania,0.01,-0.0,0.07,-0.01,-0.07
"Marshall, Michigan",Marshall,Michigan,-0.01,0.04,0.01,-0.03,0.01
"Marshall, Minnesota",Marshall,Minnesota,0.01,0.04,0.02,-0.02,-0.05
"Marshall, Missouri",Marshall,Missouri,0.01,0.05,-0.05,-0.01,-0.03
"Marshall, Texas",Marshall,Texas,-0.02,0.01,0.0,0.03,-0.11
"Marshalltown, Iowa",Marshalltown,Iowa,0.01,-0.0,0.05,0.0,-0.03
"Marshfield, Massachusetts",Marshfield,Massachusetts,-0.02,0.07,0.03,-0.02,-0.09
"Marshfield, Missouri",Marshfield,Missouri,-0.01,0.05,0.01,-0.01,-0.07
"Marshfield, Wisconsin",Marshfield,Wisconsin,0.01,0.02,0.1,0.02,-0.05
"Martin, Tennessee",Martin,Tennessee,0.01,0.04,0.0,-0.01,0.03
"Martinez, California",Martinez,California,-0.0,-0.01,0.07,0.01,0.03
"Martinez, Georgia",Martinez,Georgia,-0.02,0.02,-0.0,0.0,-0.11
"Martinsburg, West Virginia",Martinsburg,West Virginia,0.03,0.05,-0.02,-0.02,0.02
"Martinsville, Indiana",Martinsville,Indiana,-0.01,-0.02,0.05,0.03,-0.01
"Martinsville, Virginia",Martinsville,Virginia,0.02,0.0,-0.0,-0.02,-0.0
"Maryland Heights, Missouri",Maryland Heights,Missouri,0.02,-0.02,0.07,-0.01,-0.1
"Marysville, California",Marysville,California,-0.01,-0.0,0.06,0.04,0.01
"Marysville, Michigan",Marysville,Michigan,-0.02,0.05,0.01,-0.01,-0.07
"Marysville, Ohio",Marysville,Ohio,-0.04,0.07,0.03,0.0,-0.13
"Marysville, Washington",Marysville,Washington,-0.02,0.04,-0.0,0.0,0.0
"Maryville, Tennessee",Maryville,Tennessee,0.02,0.04,-0.0,-0.03,-0.06
"Mason City, Iowa",Mason City,Iowa,-0.04,0.05,-0.05,0.0,-0.05
"Mason, Michigan",Mason,Michigan,-0.02,0.05,0.03,0.01,0.02
"Mason, Ohio",Mason,Ohio,0.03,0.0,0.05,-0.04,0.0
"Maspeth, New York",Maspeth,New York,-0.01,0.06,0.01,-0.03,-0.01
"Massapequa Park, New York",Massapequa Park,New York,-0.01,0.04,-0.01,0.02,0.03
"Massapequa, New York",Massapequa,New York,-0.0,-0.03,-0.08,0.01,-0.01
"Massillon, Ohio",Massillon,Ohio,-0.01,0.04,0.08,0.01,-0.09
"Mastic Beach, New York",Mastic Beach,New York,0.04,0.03,-0.03,-0.0,0.01
"Mastic, New York",Mastic,New York,-0.04,0.07,0.02,-0.02,-0.07
"Matawan, New Jersey",Matawan,New Jersey,0.03,0.02,0.04,0.01,-0.01
"Mattawan, Michigan",Mattawan,Michigan,0.01,0.01,0.02,0.04,-0.05
"Matthews, North Carolina",Matthews,North Carolina,-0.03,0.07,-0.02,-0.01,-0.07
"Mattoon, Illinois",Mattoon,Illinois,0.0,0.02,0.06,-0.0,-0.03
"Maumee, Ohio",Maumee,Ohio,0.02,-0.0,0.01,0.01,-0.04
"Mayfield Heights, Ohio",Mayfield Heights,Ohio,0.0,0.06,0.05,-0.01,-0.02
"Mayfield, Kentucky",Mayfield,Kentucky,0.02,0.02,-0.0,0.01,-0.01
"Mays Landing, New Jersey",Mays Landing,New Jersey,0.01,-0.02,0.02,0.03,0.04
"Maywood, Illinois",Maywood,Illinois,0.04,-0.07,0.07,-0.01,-0.03
"Mcalester, Oklahoma",Mcalester,Oklahoma,0.0,0.03,0.03,0.01,-0.01
"Mcallen, Texas",Mcallen,Texas,0.01,0.09,-0.09,-0.03,0.12
"Mccomb, Mississippi",Mccomb,Mississippi,-0.01,0.06,-0.01,0.01,-0.02
"Mcdonough, Georgia",Mcdonough,Georgia,-0.01,0.02,0.01,0.01,0.0
"Mchenry, Illinois",Mchenry,Illinois,0.01,0.05,0.03,-0.04,-0.11
"Mckeesport, Pennsylvania",Mckeesport,Pennsylvania,-0.01,-0.01,0.02,0.03,-0.17
"Mckinney, Texas",Mckinney,Texas,0.04,-0.06,0.14,0.02,0.0
"Mclean, Virginia",Mclean,Virginia,-0.01,-0.03,0.06,-0.02,0.03
"Mcminnville, Oregon",Mcminnville,Oregon,-0.03,0.01,0.12,0.0,0.02
"Mcminnville, Tennessee",Mcminnville,Tennessee,0.01,0.06,0.03,-0.02,-0.01
"Mcpherson, Kansas",Mcpherson,Kansas,-0.01,-0.01,0.06,0.02,-0.07
"Meadville, Pennsylvania",Meadville,Pennsylvania,-0.04,0.08,0.0,0.04,-0.09
"Mechanicsburg, Pennsylvania",Mechanicsburg,Pennsylvania,-0.02,-0.0,0.09,0.03,-0.07
"Mechanicsville, Maryland",Mechanicsville,Maryland,-0.03,0.05,-0.01,-0.01,-0.12
"Mechanicsville, Virginia",Mechanicsville,Virginia,-0.05,-0.0,0.04,-0.03,-0.04
"Mechanicville, New York",Mechanicville,New York,-0.0,0.02,0.0,-0.01,-0.04
"Medford, Massachusetts",Medford,Massachusetts,0.02,0.09,-0.03,-0.01,-0.08
"Medford, New Jersey",Medford,New Jersey,-0.0,0.03,-0.02,0.0,-0.06
"Medford, New York",Medford,New York,0.01,0.02,0.01,0.01,-0.03
"Medford, Oregon",Medford,Oregon,-0.04,0.03,0.04,0.03,-0.02
"Medford, Wisconsin",Medford,Wisconsin,-0.0,0.04,0.04,-0.02,-0.05
"Media, Pennsylvania",Media,Pennsylvania,0.02,0.02,-0.0,0.02,0.0
"Medina, Ohio",Medina,Ohio,0.01,-0.0,0.02,-0.01,-0.12
"Medway, Massachusetts",Medway,Massachusetts,0.0,0.06,0.02,-0.02,-0.07
"Melbourne, Florida",Melbourne,Florida,-0.01,-0.02,0.03,0.02,0.02
"Melrose Park, Illinois",Melrose Park,Illinois,0.05,0.02,-0.01,-0.04,0.1
"Melrose, Massachusetts",Melrose,Massachusetts,0.02,-0.01,0.0,-0.0,0.03
"Memphis, Tennessee",Memphis,Tennessee,0.06,-0.09,-0.04,0.07,0.08
"Mena, Arkansas",Mena,Arkansas,-0.05,0.03,-0.02,-0.01,-0.01
"Menasha, Wisconsin",Menasha,Wisconsin,0.0,0.04,-0.02,-0.05,0.01
"Menifee, California",Menifee,California,-0.02,0.01,0.03,-0.02,-0.01
"Menlo Park, California",Menlo Park,California,-0.01,-0.02,0.05,0.02,0.04
"Menominee, Michigan",Menominee,Michigan,-0.05,0.06,0.02,-0.03,-0.08
"Menomonee Falls, Wisconsin",Menomonee Falls,Wisconsin,-0.01,-0.0,0.06,0.03,-0.1
"Menomonie, Wisconsin",Menomonie,Wisconsin,-0.0,-0.0,0.05,-0.01,-0.0
"Mentor, Ohio",Mentor,Ohio,-0.06,0.03,-0.01,-0.03,0.0
"Mequon, Wisconsin",Mequon,Wisconsin,0.02,-0.03,0.04,-0.01,-0.06
"Merced, California",Merced,California,-0.03,-0.07,0.07,0.05,-0.06
"Mercer Island, Washington",Mercer Island,Washington,0.03,-0.01,0.03,0.01,0.05
"Meriden, Connecticut",Meriden,Connecticut,-0.01,0.09,-0.04,-0.03,-0.03
"Meridian, Idaho",Meridian,Idaho,-0.05,-0.01,0.06,0.03,-0.11
"Meridian, Mississippi",Meridian,Mississippi,-0.0,0.02,-0.03,0.03,0.05
"Merrick, New York",Merrick,New York,0.03,-0.0,-0.03,-0.01,0.01
"Merrill, Wisconsin",Merrill,Wisconsin,-0.01,-0.03,0.12,-0.03,-0.09
"Merrillville, Indiana",Merrillville,Indiana,0.0,-0.04,-0.08,-0.01,0.03
"Merrimack, New Hampshire",Merrimack,New Hampshire,-0.02,0.05,-0.03,-0.03,-0.05
"Merritt Island, Florida",Merritt Island,Florida,0.03,-0.01,0.11,0.03,0.01
"Mesa, Arizona",Mesa,Arizona,0.02,-0.04,0.14,0.02,-0.03
"Mesquite, Texas",Mesquite,Texas,-0.01,0.06,-0.08,-0.02,-0.05
"Metairie, Louisiana",Metairie,Louisiana,0.01,0.0,0.02,-0.05,-0.06
"Methuen, Massachusetts",Methuen,Massachusetts,0.03,0.09,-0.04,-0.02,0.0
"Metuchen, New Jersey",Metuchen,New Jersey,0.03,-0.0,-0.01,-0.0,-0.06
"Mexico, Missouri",Mexico,Missouri,-0.04,0.06,-0.01,-0.01,-0.04
"Miami Beach, Florida",Miami Beach,Florida,0.14,-0.06,-0.14,0.01,0.13
"Miami Gardens, Florida",Miami Gardens,Florida,-0.01,-0.06,-0.03,0.02,0.02
"Miami Lakes, Florida",Miami Lakes,Florida,0.07,-0.04,0.0,-0.01,0.12
"Miami Springs, Florida",Miami Springs,Florida,0.02,0.03,-0.04,-0.0,0.08
"Miami, Florida",Miami,Florida,0.15,-0.15,-0.07,0.01,0.19
"Miami, Oklahoma",Miami,Oklahoma,-0.04,0.05,0.02,-0.01,-0.09
"Miamisburg, Ohio",Miamisburg,Ohio,0.04,-0.02,0.06,-0.01,-0.02
"Michigan City, Indiana",Michigan City,Indiana,-0.02,0.08,0.05,-0.01,-0.04
"Middle Village, New York",Middle Village,New York,0.03,0.02,-0.02,-0.01,-0.02
"Middleboro, Massachusetts",Middleboro,Massachusetts,-0.01,-0.04,0.03,0.02,-0.07
"Middleburg, Florida",Middleburg,Florida,-0.06,0.0,0.03,-0.0,-0.06
"Middlebury, Indiana",Middlebury,Indiana,-0.01,0.1,-0.0,-0.01,-0.05
"Middlesboro, Kentucky",Middlesboro,Kentucky,-0.05,0.04,0.02,-0.01,-0.01
"Middlesex, New Jersey",Middlesex,New Jersey,-0.02,-0.02,0.01,-0.01,-0.04
"Middleton, Wisconsin",Middleton,Wisconsin,0.0,-0.02,0.06,-0.0,-0.0
"Middletown, Connecticut",Middletown,Connecticut,-0.01,0.07,-0.05,-0.04,-0.01
"Middletown, Delaware",Middletown,Delaware,0.0,0.03,0.0,0.01,-0.02
"Middletown, Maryland",Middletown,Maryland,0.02,-0.06,0.12,0.01,0.0
"Middletown, New Jersey",Middletown,New Jersey,0.01,0.02,-0.03,0.02,-0.03
"Middletown, New York",Middletown,New York,-0.05,0.0,-0.06,0.0,-0.11
"Middletown, Ohio",Middletown,Ohio,0.01,0.05,-0.01,0.02,-0.08
"Middletown, Pennsylvania",Middletown,Pennsylvania,0.01,0.03,0.0,0.04,-0.13
"Middleville, Michigan",Middleville,Michigan,-0.04,0.03,0.02,-0.01,-0.09
"Midland, Michigan",Midland,Michigan,-0.06,-0.02,0.06,0.04,-0.03
"Midland, Texas",Midland,Texas,-0.02,0.03,0.07,-0.0,-0.08
"Midlothian, Illinois",Midlothian,Illinois,-0.01,0.06,-0.02,0.0,-0.0
"Midlothian, Texas",Midlothian,Texas,0.04,-0.05,0.05,-0.01,-0.04
"Midlothian, Virginia",Midlothian,Virginia,-0.02,0.01,0.04,-0.02,-0.1
"Midvale, Utah",Midvale,Utah,-0.02,0.04,0.03,0.01,-0.02
"Midwest City, Oklahoma",Midwest City,Oklahoma,-0.03,0.09,-0.07,-0.03,0.02
"Milaca, Minnesota",Milaca,Minnesota,-0.03,0.01,0.01,-0.02,-0.09
"Milford, Connecticut",Milford,Connecticut,0.03,-0.03,-0.01,0.01,-0.07
"Milford, Delaware",Milford,Delaware,-0.02,0.06,0.04,0.03,0.04
"Milford, Massachusetts",Milford,Massachusetts,-0.06,0.08,0.0,-0.01,-0.03
"Milford, Michigan",Milford,Michigan,0.01,-0.0,0.04,0.01,-0.1
"Milford, Ohio",Milford,Ohio,-0.01,-0.04,0.07,0.0,0.04
"Milford, Pennsylvania",Milford,Pennsylvania,-0.0,0.04,0.04,-0.02,-0.02
"Mililani Town, Hawaii",Mililani Town,Hawaii,-0.11,0.07,0.0,-0.08,0.0
"Mill Creek, Washington",Mill Creek,Washington,0.03,-0.05,0.06,0.04,0.02
"Mill Valley, California",Mill Valley,California,-0.0,-0.02,-0.0,0.01,0.06
"Millbrae, California",Millbrae,California,0.02,0.03,0.04,-0.02,-0.04
"Millbrook, Alabama",Millbrook,Alabama,-0.0,0.0,0.0,0.02,-0.05
"Milledgeville, Georgia",Milledgeville,Georgia,0.01,0.02,0.07,0.06,-0.03
"Miller Place, New York",Miller Place,New York,0.01,-0.0,0.05,0.01,-0.03
"Millington, Michigan",Millington,Michigan,-0.02,0.04,0.03,-0.01,-0.08
"Millington, Tennessee",Millington,Tennessee,-0.04,0.06,0.0,-0.01,-0.06
"Millville, New Jersey",Millville,New Jersey,-0.01,0.09,-0.06,-0.02,0.05
"Milpitas, California",Milpitas,California,0.04,-0.01,0.03,-0.06,0.0
"Milton, Florida",Milton,Florida,-0.0,-0.0,0.04,0.01,0.03
"Milton, Massachusetts",Milton,Massachusetts,-0.0,-0.03,0.03,-0.01,-0.02
"Milwaukee, Wisconsin",Milwaukee,Wisconsin,0.01,-0.04,-0.06,-0.01,0.0
"Milwaukie, Oregon",Milwaukie,Oregon,-0.01,-0.01,0.04,0.0,-0.04
"Minden, Louisiana",Minden,Louisiana,0.02,-0.03,0.09,0.0,0.09
"Mineola, New York",Mineola,New York,-0.04,0.1,0.02,-0.05,-0.04
"Mineral Wells, Texas",Mineral Wells,Texas,0.02,0.01,0.06,-0.0,0.02
"Minneapolis, Minnesota",Minneapolis,Minnesota,-0.02,-0.05,0.01,-0.03,0.13
"Minnetonka, Minnesota",Minnetonka,Minnesota,0.06,-0.07,0.07,0.02,-0.02
"Minot, North Dakota",Minot,North Dakota,-0.0,0.05,0.01,-0.03,-0.08
"Mira Mesa, California",Mira Mesa,California,0.02,0.03,0.0,-0.03,0.01
"Miramar, Florida",Miramar,Florida,-0.02,-0.06,0.04,-0.01,0.07
"Mishawaka, Indiana",Mishawaka,Indiana,-0.07,0.1,0.01,0.01,-0.03
"Mission Hills, California",Mission Hills,California,-0.02,-0.02,0.05,-0.0,0.07
"Mission Viejo, California",Mission Viejo,California,0.11,-0.1,0.02,-0.0,0.06
"Mission, Texas",Mission,Texas,-0.01,-0.06,-0.03,0.03,-0.02
"Missoula, Montana",Missoula,Montana,0.02,0.0,0.02,0.04,0.01
"Missouri City, Missouri",Missouri City,Missouri,0.02,-0.03,0.02,0.0,-0.04
"Missouri City, Texas",Missouri City,Texas,0.01,-0.03,-0.08,-0.05,0.04
"Mitchell, South Dakota",Mitchell,South Dakota,0.01,0.01,0.08,-0.03,-0.04
"Moab, Utah",Moab,Utah,0.01,0.02,0.04,-0.02,0.01
"Moberly, Missouri",Moberly,Missouri,-0.03,0.01,0.04,-0.01,-0.04
"Mobile, Alabama",Mobile,Alabama,0.01,-0.04,0.06,0.01,0.0
"Mocksville, North Carolina",Mocksville,North Carolina,-0.02,0.03,-0.04,0.0,-0.06
"Modesto, California",Modesto,California,0.02,0.01,0.07,-0.01,-0.02
"Mokena, Illinois",Mokena,Illinois,0.01,-0.02,0.04,-0.01,0.01
"Moline, Illinois",Moline,Illinois,0.01,0.01,0.03,0.05,-0.07
"Moncks Corner, South Carolina",Moncks Corner,South Carolina,0.03,-0.01,0.02,-0.0,0.02
"Monmouth, Illinois",Monmouth,Illinois,-0.0,0.07,0.03,-0.01,-0.04
"Monroe, Connecticut",Monroe,Connecticut,-0.01,0.05,0.02,-0.03,-0.07
"Monroe, Georgia",Monroe,Georgia,-0.01,0.04,-0.03,-0.02,-0.09
"Monroe, Louisiana",Monroe,Louisiana,0.04,-0.14,0.1,0.09,0.08
"Monroe, Michigan",Monroe,Michigan,-0.04,0.07,-0.01,-0.01,-0.04
"Monroe, New York",Monroe,New York,-0.03,0.02,-0.08,-0.02,-0.0
"Monroe, North Carolina",Monroe,North Carolina,-0.02,0.06,-0.04,0.01,-0.09
"Monroe, Washington",Monroe,Washington,-0.04,0.05,0.02,0.01,-0.02
"Monroe, Wisconsin",Monroe,Wisconsin,0.01,0.03,0.03,-0.01,-0.05
"Monroeville, Pennsylvania",Monroeville,Pennsylvania,-0.03,0.08,-0.0,-0.02,-0.03
"Monrovia, California",Monrovia,California,-0.01,0.0,0.02,-0.05,-0.02
"Montclair, California",Montclair,California,0.03,-0.01,-0.01,-0.0,0.0
"Montclair, New Jersey",Montclair,New Jersey,0.08,-0.02,-0.01,-0.02,0.1
"Montebello, California",Montebello,California,0.02,-0.03,0.08,0.02,0.07
"Monterey Park, California",Monterey Park,California,-0.04,0.05,0.05,-0.07,-0.04
"Monterey, California",Monterey,California,0.03,0.0,-0.04,-0.01,0.09
"Montgomery, Alabama",Montgomery,Alabama,0.06,-0.09,0.06,0.04,0.06
"Montgomery, Texas",Montgomery,Texas,0.01,0.04,0.04,-0.0,-0.11
"Monticello, Arkansas",Monticello,Arkansas,-0.06,0.04,-0.06,0.02,-0.05
"Monticello, Minnesota",Monticello,Minnesota,-0.0,-0.08,0.11,0.02,-0.08
"Montoursville, Pennsylvania",Montoursville,Pennsylvania,-0.01,0.02,0.04,0.01,-0.1
"Montrose, Colorado",Montrose,Colorado,-0.01,0.04,0.01,0.01,0.01
"Montrose, Michigan",Montrose,Michigan,0.02,0.02,0.02,0.03,-0.03
"Monument, Colorado",Monument,Colorado,0.02,-0.11,0.11,0.02,-0.07
"Moore, Oklahoma",Moore,Oklahoma,-0.02,0.05,-0.01,0.03,-0.04
"Moorestown, New Jersey",Moorestown,New Jersey,-0.02,0.02,-0.09,-0.03,-0.06
"Mooresville, Indiana",Mooresville,Indiana,-0.01,0.06,0.04,0.02,-0.05
"Mooresville, North Carolina",Mooresville,North Carolina,0.0,-0.02,0.07,0.05,-0.01
"Moorhead, Minnesota",Moorhead,Minnesota,0.01,-0.01,0.01,-0.03,0.01
"Moorpark, California",Moorpark,California,0.01,-0.05,-0.03,0.01,0.09
"Mora, Minnesota",Mora,Minnesota,0.01,-0.05,0.04,0.0,-0.11
"Moraga, California",Moraga,California,-0.01,0.02,0.01,-0.03,-0.04
"Morehead City, North Carolina",Morehead City,North Carolina,-0.01,0.03,0.03,-0.04,-0.02
